batch_size,epochs,filename,i,loss_func,model_name,model_updates,mse,mse_input,noise,optimizer_name,seed,stoppage_early,total_time,train_loss
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.60261776505245.pth,142,MSELoss(),SHO_Fitter_original_data,555,0.18121814727783203,16.67750358581543,5,Adam,45,False,15.888176918029785,16.60261776505245
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_16.611727036811686.pth,143,MSELoss(),SHO_Fitter_original_data,555,0.17763829231262207,16.67750358581543,5,Adam,46,False,15.855468273162842,16.611727036811686
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.754390397454024.pth,144,MSELoss(),SHO_Fitter_original_data,11060,0.35685503482818604,24.015621185302734,6,Adam,0,False,91.78206157684326,23.754390397454024
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.760734802732866.pth,145,MSELoss(),SHO_Fitter_original_data,11060,0.3433416187763214,24.015621185302734,6,Adam,41,False,91.997487783432,23.760734802732866
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.75869689826612.pth,146,MSELoss(),SHO_Fitter_original_data,11060,0.35382387042045593,24.015621185302734,6,Adam,43,False,92.08504700660706,23.75869689826612
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.75809038006183.pth,147,MSELoss(),SHO_Fitter_original_data,11060,0.34707432985305786,24.015621185302734,6,Adam,44,False,91.41083192825317,23.75809038006183
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.76361338428601.pth,148,MSELoss(),SHO_Fitter_original_data,11060,0.34180229902267456,24.015621185302734,6,Adam,45,False,92.55196285247803,23.76361338428601
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.76477712934354.pth,149,MSELoss(),SHO_Fitter_original_data,11060,0.3418341875076294,24.015621185302734,6,Adam,46,False,92.30205202102661,23.76477712934354
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_0.0378538435029946.pth,15,MSELoss(),SHO_Fitter_original_data,1110,0.03698718175292015,0.0,0,Adam,44,False,29.51676630973816,0.0378538435029946
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.763991286771166.pth,150,MSELoss(),SHO_Fitter_original_data,5530,0.33491185307502747,24.015621185302734,6,Adam,0,False,54.82072472572327,23.763991286771166
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.77030658632241.pth,151,MSELoss(),SHO_Fitter_original_data,5530,0.3330651521682739,24.015621185302734,6,Adam,41,False,54.79312705993652,23.77030658632241
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.770204037772835.pth,152,MSELoss(),SHO_Fitter_original_data,5530,0.3307895362377167,24.015621185302734,6,Adam,43,False,55.29392743110657,23.770204037772835
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.76569840118841.pth,153,MSELoss(),SHO_Fitter_original_data,5530,0.3300052881240845,24.015621185302734,6,Adam,44,False,55.55885124206543,23.76569840118841
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.769413799116457.pth,154,MSELoss(),SHO_Fitter_original_data,5530,0.33478641510009766,24.015621185302734,6,Adam,45,False,55.3958625793457,23.769413799116457
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.77680213018148.pth,155,MSELoss(),SHO_Fitter_original_data,5530,0.32108771800994873,24.015621185302734,6,Adam,46,False,54.792150259017944,23.77680213018148
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.811150865422356.pth,156,MSELoss(),SHO_Fitter_original_data,1110,0.2890397906303406,24.015621185302734,6,Adam,0,False,29.31912112236023,23.811150865422356
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.815905977868372.pth,157,MSELoss(),SHO_Fitter_original_data,1110,0.2863602936267853,24.015621185302734,6,Adam,41,False,29.478613138198853,23.815905977868372
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.813203180553735.pth,158,MSELoss(),SHO_Fitter_original_data,1110,0.2822299301624298,24.015621185302734,6,Adam,43,False,29.5082528591156,23.813203180553735
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.808637070779998.pth,159,MSELoss(),SHO_Fitter_original_data,1110,0.30113351345062256,24.015621185302734,6,Adam,44,False,29.700002908706665,23.808637070779998
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_0.03841401379018121.pth,16,MSELoss(),SHO_Fitter_original_data,1110,0.03901408985257149,0.0,0,Adam,45,False,29.550541400909424,0.03841401379018121
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.820529166333102.pth,160,MSELoss(),SHO_Fitter_original_data,1110,0.28207820653915405,24.015621185302734,6,Adam,45,False,29.683253288269043,23.820529166333102
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.841746439881348.pth,161,MSELoss(),SHO_Fitter_original_data,1110,0.2693636417388916,24.015621185302734,6,Adam,46,False,29.46868371963501,23.841746439881348
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.86196602108302.pth,162,MSELoss(),SHO_Fitter_original_data,555,0.25850069522857666,24.015621185302734,6,Adam,0,False,15.947596549987793,23.86196602108302
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.86493099508462.pth,163,MSELoss(),SHO_Fitter_original_data,555,0.2573750913143158,24.015621185302734,6,Adam,41,False,15.88687801361084,23.86493099508462
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.845438202084214.pth,164,MSELoss(),SHO_Fitter_original_data,555,0.27029508352279663,24.015621185302734,6,Adam,43,False,15.880067110061646,23.845438202084214
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.841148711189074.pth,165,MSELoss(),SHO_Fitter_original_data,555,0.264579713344574,24.015621185302734,6,Adam,44,False,15.930217266082764,23.841148711189074
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.878119737461763.pth,166,MSELoss(),SHO_Fitter_original_data,555,0.24756509065628052,24.015621185302734,6,Adam,45,False,15.872379302978516,23.878119737461763
